Model,None,keyphrase,keyword,query + keyphrase,query + keyword,query + summary,summary
paraphrase-MiniLM-L12-v2,0.38823529411764707,0.43823529411764706,0.43529411764705883,0.4294117647058823,0.43529411764705883,0.4235294117647059,0.538235294117647
all-MiniLM-L12-v1,0.4,0.4588235294117647,0.4411764705882353,0.45294117647058824,0.45588235294117646,0.4411764705882353,0.5117647058823529
all-mpnet-base-v2,0.4235294117647059,0.47352941176470587,0.4264705882352941,0.5058823529411764,0.4970588235294118,0.5117647058823529,0.538235294117647
sentence-t5-xl,0.5441176470588235,0.5029411764705882,0.5029411764705882,0.5352941176470588,0.5558823529411765,0.5323529411764706,0.5647058823529412
promptriever,0.5970588235294118,0.4676470588235294,0.4117647058823529,0.6,0.611764705882353,0.6029411764705882,0.55
