,Model,None Accuracy,Best Technique,Best Technique Accuracy,Improvement
2,paraphrase-MiniLM-L12-v2,0.4808823529411764,summary,0.6676470588235294,0.18676470588235294
0,all-MiniLM-L12-v1,0.45588235294117646,keyphrase,0.6705882352941176,0.21470588235294114
1,all-mpnet-base-v2,0.49264705882352944,summary,0.6735294117647059,0.1808823529411765
4,sentence-t5-xl,0.6352941176470588,query + keyphrase,0.8058823529411765,0.1705882352941177
3,promptriever,0.6499999999999999,query + summary,0.7911764705882353,0.14117647058823535
