Model,None,keyword,keyphrase,summary,query + keyword,query + keyphrase,query + summary,keyword (Improvement),keyphrase (Improvement),summary (Improvement),query + keyword (Improvement),query + keyphrase (Improvement),query + summary (Improvement)
paraphrase-MiniLM-L12-v2,57.4,61.2,63.2,66.8,62.9,62.6,63.8,3.8,5.8,9.4,5.5,5.2,6.4
all-MiniLM-L12-v1,51.2,60.9,67.1,65.9,62.6,61.8,62.4,9.7,15.9,14.7,11.4,10.6,11.2
all-mpnet-base-v2,56.2,62.9,62.4,67.4,59.1,58.5,66.2,6.7,6.2,11.2,2.9,2.3,10.0
sentence-t5-xl,72.6,65.6,71.2,77.9,76.2,80.6,78.2,-7.0,-1.4,5.3,3.6,8.0,5.6
promptriever,70.3,56.2,68.5,75.3,71.2,75.9,79.1,-14.1,-1.8,5.0,0.9,5.6,8.8
