Model,None,keyword,keyphrase,summary,query + keyword,query + keyphrase,query + summary
paraphrase-MiniLM-L12-v2,57.4,61.2 (+3.8),63.2 (+5.8),66.8 (+9.4),62.9 (+5.5),62.6 (+5.2),63.8 (+6.4)
all-MiniLM-L12-v1,51.2,60.9 (+9.7),67.1 (+15.9),65.9 (+14.7),62.6 (+11.4),61.8 (+10.6),62.4 (+11.2)
all-mpnet-base-v2,56.2,62.9 (+6.7),62.4 (+6.2),67.4 (+11.2),59.1 (+2.9),58.5 (+2.3),66.2 (+10.0)
sentence-t5-xl,72.6,65.6 (-7.0),71.2 (-1.4),77.9 (+5.3),76.2 (+3.6),80.6 (+8.0),78.2 (+5.6)
promptriever,70.3,56.2 (-14.1),68.5 (-1.8),75.3 (+5.0),71.2 (+0.9),75.9 (+5.6),79.1 (+8.8)
