Model,None,keyword,keyphrase,summary,query + keyword,query + keyphrase,query + summary,keyword (Improvement),keyphrase (Improvement),summary (Improvement),query + keyword (Improvement),query + keyphrase (Improvement),query + summary (Improvement)
paraphrase-MiniLM-L12-v2,38.8,43.5,43.8,53.8,43.5,42.9,42.4,4.7,5.0,15.0,4.7,4.1,3.6
all-MiniLM-L12-v1,40.0,44.1,45.9,51.2,45.6,45.3,44.1,4.1,5.9,11.2,5.6,5.3,4.1
all-mpnet-base-v2,42.4,42.6,47.4,53.8,49.7,50.6,51.2,0.2,5.0,11.4,7.3,8.2,8.8
sentence-t5-xl,54.4,50.3,50.3,56.5,55.6,53.5,53.2,-4.1,-4.1,2.1,1.2,-0.9,-1.2
promptriever,59.7,41.2,46.8,55.0,61.2,60.0,60.3,-18.5,-12.9,-4.7,1.5,0.3,0.6
