Model,summary,query+summary,summary_fs,query+summary_fs
all-MiniLM-L12-v1,0.5117647058823529,0.4411764705882353,0.46176470588235297,0.4411764705882353
all-mpnet-base-v2,0.538235294117647,0.5117647058823529,0.42058823529411765,0.43823529411764706
paraphrase-MiniLM-L12-v2,0.538235294117647,0.4235294117647059,0.40588235294117647,0.42058823529411765
promptriever,0.55,0.6029411764705882,0.5117647058823529,0.5941176470588235
sentence-t5-xl,0.5647058823529412,0.5323529411764706,0.5147058823529411,0.55
