Model,None,keyword,keyphrase,summary,query + keyword,query + keyphrase,query + summary
paraphrase-MiniLM-L12-v2,38.8,43.5 (+4.7),43.8 (+5.0),53.8 (+15.0),43.5 (+4.7),42.9 (+4.1),42.4 (+3.6)
all-MiniLM-L12-v1,40.0,44.1 (+4.1),45.9 (+5.9),51.2 (+11.2),45.6 (+5.6),45.3 (+5.3),44.1 (+4.1)
all-mpnet-base-v2,42.4,42.6 (+0.2),47.4 (+5.0),53.8 (+11.4),49.7 (+7.3),50.6 (+8.2),51.2 (+8.8)
sentence-t5-xl,54.4,50.3 (-4.1),50.3 (-4.1),56.5 (+2.1),55.6 (+1.2),53.5 (-0.9),53.2 (-1.2)
promptriever,59.7,41.2 (-18.5),46.8 (-12.9),55.0 (-4.7),61.2 (+1.5),60.0 (+0.3),60.3 (+0.6)
