Model,None,keyphrase,keyword,query + keyphrase,query + keyword,query + summary,summary
paraphrase-MiniLM-L12-v2,0.5735294117647058,0.6323529411764706,0.611764705882353,0.6264705882352941,0.6294117647058823,0.638235294117647,0.6676470588235294
all-MiniLM-L12-v1,0.5117647058823529,0.6705882352941176,0.6088235294117647,0.6176470588235294,0.6264705882352941,0.6235294117647059,0.6588235294117647
all-mpnet-base-v2,0.5617647058823529,0.6235294117647059,0.6294117647058823,0.5852941176470589,0.5911764705882353,0.6617647058823529,0.6735294117647059
sentence-t5-xl,0.7264705882352941,0.711764705882353,0.6558823529411765,0.8058823529411765,0.7617647058823529,0.7823529411764706,0.7794117647058824
promptriever,0.7029411764705882,0.6852941176470588,0.5617647058823529,0.7588235294117647,0.711764705882353,0.7911764705882353,0.7529411764705882
